movieRow,电影ID,电影名称
0,3541415,盗梦空间
1,1889243,星际穿越
2,1292064,楚门的世界
3,2131459,机器人总动员
4,1851857,蝙蝠侠：黑暗骑士
5,1291843,黑客帝国
6,1865703,红辣椒
7,1291936,攻壳机动队
8,25964630,黑镜：圣诞特别篇
9,27040774,超感猎杀：完结特别篇
10,1292343,蝴蝶效应
11,3395373,蝙蝠侠：黑暗骑士崛起
12,1292226,2001太空漫游
13,1291566,攻壳机动队2：无罪
14,1652587,阿凡达
15,11026735,超能陆战队
16,1302467,黑客帝国3：矩阵革命
17,1298107,大都会
18,1291844,终结者2：审判日
19,1300117,千钧一发
20,1300555,回到未来
21,3592854,疯狂的麦克斯4：狂暴之路
22,1302827,人工智能
23,1304141,黑客帝国2：重装上阵
24,1307897,回忆三部曲
25,4920389,头号玩家
26,26374197,蜘蛛侠：平行宇宙
27,25807345,彗星来的那一夜
28,1309069,蝙蝠侠：侠影之谜
29,1937946,穿越时空的少女
30,1292233,发条橙
31,1294638,E.T.外星人
32,1291839,银翼杀手
33,1972698,守望者
34,26100958,复仇者联盟4：终局之战
35,3075287,源代码
36,25864085,火星救援
37,30391186,蜘蛛侠：纵横宇宙
38,1292659,变脸
39,2300586,这个男人来自地球
40,1292347,黑客帝国动画版
41,1292529,机器管家
42,3073124,月球
43,1308777,暖暖内含光
44,1296666,回到未来3
45,1293838,星球大战
46,1307547,星际宝贝
47,1432146,钢铁侠
48,6722879,她
49,1299092,回到未来2
50,1309078,星球大战前传3：西斯的反击
51,1295656,潜行者
52,26897885,芬奇
53,1306607,K星异客
54,1302770,阿基拉
55,5162334,她的回忆
56,35267208,流浪地球2
57,1866479,复仇者联盟
58,1300977,飞向太空
59,26258779,银河护卫队3
60,1308779,后天
61,10512661,银翼杀手2049
62,1291989,原始星球
63,1294183,黑洞频率
64,1794171,变形金刚
65,3006772,第九区
66,25765735,金刚狼3：殊死一战
67,1295647,超时空接触
68,1306809,生化危机
69,1300282,异次元骇客
70,1301445,黑衣人
71,1292523,侏罗纪公园
72,1296528,星球大战2：帝国反击战
73,1300868,异形
74,1972729,铁甲钢拳
75,1297151,星球大战3：绝地归来
76,24718965,正义联盟：闪点悖论
77,4746257,明日边缘
78,10485647,X战警：逆转未来
79,35575567,沙丘2
80,3274505,猩球崛起
81,3168089,X战警：第一战
82,1308843,我，机器人
83,1298744,十二猴子
84,1300656,终结者
85,27093707,升级
86,24773958,复仇者联盟3：无限战争
87,3530403,云图
88,2076181,无姓之人
89,1294362,星球大战前传1：幽灵的威胁
90,7065154,银河护卫队
91,1293863,钢铁巨人
92,1306612,蜘蛛侠
93,1945330,迷雾
94,35076714,扎克·施奈德版正义联盟
95,1293013,独立日
96,1422063,最终幻想7：圣子降临
97,2132932,星际迷航
98,1293792,异形2
99,34941536,宇宙探索编辑部
100,1296141,控方证人
101,1307914,无间道
102,1395091,未麻的部屋
103,1292000,搏击俱乐部
104,1293181,惊魂记
105,2334904,禁闭岛
106,1293544,沉默的羔羊
107,1780330,致命魔术
108,1297192,致命ID
109,1300299,杀人回忆
110,1297630,第六感
111,1291992,末路狂花
112,26580232,看不见的客人
113,1292223,七宗罪
114,1307106,无间道2
115,1397546,追随
116,1424334,洞
117,1578507,谍影重重3
118,1301231,电话谋杀案
119,27119724,小丑
120,21318488,消失的爱人
121,1304447,记忆碎片
122,1417598,电锯惊魂
123,1292348,洛城机密
124,1428175,血钻
125,1308767,谍影重重2
126,2297265,浪潮
127,1299080,后窗
128,25986180,釜山行
129,1978709,黑天鹅
130,1292515,用心棒
131,1304102,谍影重重
132,1297294,迷魂记
133,4826419,金福南杀人事件始末
134,1292214,非常嫌疑犯
135,1299900,亚当斯一家的价值观
136,3011051,恐怖游轮
137,2027938,神探
138,27615441,网络谜踪
139,4304402,精英部队2：大敌当前
140,1302642,花火
141,3734112,风声
142,1296519,喋血双雄
143,1292217,穆赫兰道
144,3068206,碟中谍4
145,1309220,黑社会
146,1857099,老无所依
147,1295686,盗火线
148,1293434,王牌对王牌
149,3006309,追击者
150,1309045,电锯惊魂2
151,1299603,落水狗
152,26794701,孟买酒店
153,1309027,罪恶之城
154,1298909,魔鬼代言人
155,2028666,换子疑云
156,1291580,杀死比尔
157,1298759,狗镇
158,1292230,刺杀肯尼迪
159,1301582,苦月亮
160,1292850,危情十日
161,1292646,情枭的黎明
162,1294991,精武门
163,1308865,老男孩
164,1484760,黑社会2：以和为贵
165,1299327,夜访吸血鬼
166,1292484,碟中谍
167,2124586,飓风营救
168,1790577,放·逐
169,1294438,假面
170,1301746,汉尼拔
171,30334073,调音师
172,25750969,夜行者
173,1295045,天才瑞普利
174,1307694,无间道3：终极无间
175,1292553,真实的谎言
176,1293310,椿三十郎
177,3011308,孤儿怨
178,1306870,猛龙过江
179,1295644,这个杀手不太冷
180,1291552,指环王3：王者无敌
181,1291572,指环王2：双塔奇兵
182,1295399,七武士
183,1291571,指环王1：护戒使者
184,3742360,让子弹飞
185,35853587,进击的巨人 最终季 完结篇 前篇
186,1294639,勇敢的心
187,1291543,功夫
188,36283000,进击的巨人 最终季 完结篇 后篇
189,1298070,加勒比海盗
190,1295409,纵横四海
191,6307447,被解救的姜戈
192,1300741,枪火
193,3726072,东邪西毒：终极版
194,1292287,新龙门客栈
195,1292328,东邪西毒
196,1297574,英雄本色
197,1291824,黑鹰坠落
198,1304920,切腹
199,1298898,暗战
200,2973079,霍比特人3：五军之战
201,1296196,乱
202,1292895,精武英雄
