电影名称,海报地址,评分,评论人数,类型,上映日期,片长,导演,主演,国家/地区,语言,简介
盗梦空间Inception,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9.4,2180642,剧情/科幻/悬疑/冒险,2010-09-01(中国大陆)/2020-08-28(中国大陆重映)/2010-07-16(美国),148分钟,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾利奥特·佩吉/汤姆·哈迪/渡边谦/迪利普·劳/基里安·墨菲/汤姆·贝伦杰/玛丽昂·歌迪亚/皮特·波斯尔思韦特/迈克尔·凯恩/卢卡斯·哈斯/李太力/克莱尔·吉尔蕾/马格努斯·诺兰/泰勒·吉蕾/乔纳森·吉尔/水源士郎/冈本玉二/厄尔·卡梅伦/瑞恩·海沃德/米兰达·诺兰/拉什·费加/蒂姆·科勒赫/妲露拉·莱莉,美国/英国,英语/日语/法语,道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层...
星际穿越Interstellar,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,9.4,1988548,剧情/科幻/冒险,2014-11-12(中国大陆)/2020-08-02(中国大陆重映)/2014-11-07(美国),169分钟,克里斯托弗·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/麦肯吉·弗依/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/提莫西·查拉梅/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉亚西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X.麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰,美国/英国/加拿大,英语,近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes B...
楚门的世界TheTrumanShow,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.4,1844658,剧情/科幻,1998-06-05(美国),103分钟,彼得·威尔,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩,美国,英语,楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。 直到有一天，他忽然发觉自己似乎一直在被人跟踪，无论他走到哪里，干什么事情。这种感觉愈来愈强烈。楚门决定不惜一切代价逃离这个他生活了30多年的地方，去寻找他的初恋女友。 但他却发现自己怎样也逃不出去。真相其实很残忍。
机器人总动员WALL·E,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,9.3,1389580,科幻/动画/冒险,2008-06-27(美国),98分钟,安德鲁·斯坦顿,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉森贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,美国,英语,公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（Waste Allocation Load Lifters – Earth 地球废品分装员）的机器人担当此重任。 这些机器人按照程序日复一日、年复一年辛勤工作，但随着时间的流逝和恶劣环境的侵蚀，WALL·E们接连损坏、停止运动。最后只有一个仍在进行这项似乎永无止境的工作。经历了漫长的岁月，它开始拥有了自己的意识。它喜欢将收集来的宝贝小心翼翼藏起，喜欢收工后看看几百年前的歌舞片，此外还有一只蟑螂朋友作伴。直到有一天，一艘来自宇宙的飞船打破了它一成不变的生活…… 本片荣获2009年第81届奥斯卡最佳动画长片奖。
蝙蝠侠：黑暗骑士TheDarkKnight,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,9.2,1122527,剧情/动作/科幻/惊悚/犯罪,2008-07-14(纽约首映)/2008-07-18(美国),152分钟,克里斯托弗·诺兰,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲克纳/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希,美国/英国,英语/汉语普通话,从亲眼目睹父母被人杀死的阴影中走出来的“蝙蝠侠”，经历了成长之后，已经不再是那个桀骜不的孤单英雄了。在警官吉姆·戈登和检查官哈维·登特的通力帮助下，“蝙蝠侠”无后顾之忧地继续满世界的奔波，与日益增长起来的犯罪威胁做着永无休止的争斗，而他所在的高谭市，也是进展最为明显的地方，犯罪率以一种惊人的速度持续下降着，毕竟对方是能够上天入地的“蝙蝠侠”，不借两个胆子谁还敢造次呢？不过像高谭这种科技与污秽并存的城市，平静是不可能维持太久的，果不其然，新一轮的混乱很快就席卷了整个城市，人们再一被被恐慌所笼罩着，而声称愿意为这一切负责的，自然就是所有混乱的源头以及支配者--“小丑”了。 先不管“小丑”掀起一个又一个犯罪的狂潮的最终目的为何，他的企图都是邪恶的，所作所为更是早就危害到了高谭市民的正常生活……其中自然包括了“蝙蝠侠”身边几个非常重要的人，而他需要做的，就是...
黑客帝国TheMatrix,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,9.1,885677,动作/科幻,2000-01-14(中国大陆)/1999-03-31(美国),136分钟,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/格洛丽亚·福斯特/乔·潘托里亚诺/马库斯·钟/朱利安·阿拉汗加/马特·多兰/贝琳达·麦克洛里/安东尼·雷·帕克/罗伯特·泰勒/阿达·尼科德莫/罗温·维特/塔玛拉·布朗/纳塔莉·特珍/比尔·扬/克里斯·斯科特/纳许·埃哲顿,美国,英语,不久的将来，网络黑客尼奥（基奴李维斯 饰）对这个看似正常的现实世界产生了怀疑。他结识了黑客崔妮蒂（凯莉·安·摩丝 饰），并见到了黑客组织的首领墨菲斯（劳伦斯·菲什伯恩 饰）。墨菲斯告诉他，现实世界其实是由一个名叫“母体”的计算机人工智能系统控制，人们就像他们饲养的动物，没有自由和思想，而尼奥就是能够拯救人类的救世主。 可是，救赎之路从来都不会一帆风顺，到底哪里才是真实的世界？如何才能打败那些超人一样的特勤？尼奥是不是人类的希望？这是黑客的帝国，程序和代码欢迎大家的到来。.
红辣椒パプリカ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1702233485.jpg,9.1,514074,科幻/动画/悬疑/惊悚,2006-09-02(威尼斯电影节)/2006-11-25(日本),90分钟,今敏,林原惠美/江守彻/堀胜之祐/古谷彻/大塚明夫/山寺宏一/田中秀幸/兴梠里美/岩田光央/爱河里花子/川濑晶子/太田真一郎/福松进纱/胜杏里/宫下荣治/三户耕三/今敏/筒井康隆,日本,日语,近未来，为了治疗现代人类越来越多、越来越严重的精神疾病，位于东京的精神医疗综合研究所开发出一种可以反映他人梦境的机器。通过微型DC的帮助，梦境在显示器上呈现出来，更方便找到一个人焦虑的症结。 某日，三台微型DC失窃，与之相关的研究人员的梦境接连被人侵入，随后受到严重伤害。美女医疗师千叶敦子另一个身份是梦境侦探“红辣椒”，她能够与患者同步体验梦境。为避免盗贼利用微型DC进一步作恶，她不得不潜入受害者的梦中寻找恐怖分子，一场充满奇幻和惊险的争斗旋即展开…… 本片入围2006年威尼斯电影节主竞赛单元，荣获2007年葡萄牙奇幻电影节影评人选择奖、2006年蒙特利尔电影节大众选择奖。
攻壳机动队攻殻機動隊,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2446408045.jpg,9.1,151693,动作/科幻/动画,1995-11-18(日本),83分钟,押井守,田中敦子/大塚明夫/山寺宏一/大木民夫/家弓家正/玄田哲章/山内雅人/小川真司,日本,日语,公元2029年，未来世界是高科技与信息化的世界。人类生活水平的提高伴随着犯罪活动的高科技化，于是，专门镇压高科技犯罪的特殊部队——公安9课成立了。队长草薙素子，作为一位全身“义体化”的女警，带领公安9课不断展开行动。 是次，公安9课帮助公安6课秘密解决了一位程序员外逃他国的麻烦琐事，又卷入传说中的黑客“傀儡师”的犯罪事件。当行动陷入僵局之际，傀儡师竟然不请自来，出现在公安9课！素子与她的战友们，不知不觉地被卷入了一场涉及政府的阴谋之中。
黑镜：圣诞特别篇BlackMirror:WhiteChristmas,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233676442.jpg,9.1,129216,剧情/科幻/惊悚,2014-12-16(英国),74分钟,卡尔·蒂贝茨,乔恩·哈姆/拉菲·斯波/奥娜·卓别林/娜塔丽·特纳/詹妮特·蒙哥马利/李丹/拉斯穆斯·哈迪克,英国,英语,圣诞节将至，一间地处偏远的小木屋里，波特（拉菲·斯波 Rafe Spall 饰）和马特（乔恩·哈姆 Jon Hamm 饰）同坐一桌，用红酒和烤土豆庆祝这个银装素裹的节日。波特沉默寡言，无精打采，而马特却恰恰相反，为了逗波特讲话，他向波特讲述了自己的过去。 曾经的马特是一名“恋爱导师”，他通过摄像头和网络“远程操控”他的客户，让这些平日里无人问津的“宅男”们能够在派对山成功抱得美人归。然而，一场意外让马特决定永远离开这个他经营得风生水起的行当，此间究竟发生了什么？听了马特的叙述，波特终于决定向马特讲述自己的故事，这个故事关乎于他和他的女友，但并不完全关乎于爱情。
超感猎杀：完结特别篇Sense8FinaleSpecial,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520264840.jpg,9.2,63015,剧情/科幻/同性,2018-06-08(美国),151分钟,拉娜·沃卓斯基,裴斗娜/杰米·克莱顿/蒂娜·德赛/塔彭丝·米德尔顿/马克思·雷迈特/米格尔·安赫尔·西尔维斯特/布莱恩·J·史密斯/托比·奥伍梅尔/弗莉玛·阿吉曼/帕鲁布·科里/阿方索·埃雷拉/泰伦斯·曼/达丽尔·汉纳/纳威恩·安德利维斯/奈斯鲍提斯塔/斯蒂芬·鲍克思/阿米拉·加扎拉/约书亚·格罗斯/埃伦迪拉·伊瓦拉/雅丽·乔维尔/西尔维斯特·迈可伊/Annie Munch/埃文特·斯特朗/马克斯·毛夫,美国,英语,Netfilx宣布将为月初被砍的《超感猎杀》制作两小时最终篇！Wolfgang的命运及更多大坑终于要填上啦！剧集制作人拉娜·沃卓斯基在致Sense8家族的一封信中感谢全球粉丝，表示大结局正在制作中，将于明年上线！
