电影名称,上映日期,评分,评论人数,演员,类型,国家,电影ID,URL
盗梦空间,2010-09-01,9.4,2180536,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉","剧情,科幻,悬疑,冒险","美国,英国",3541415,https://movie.douban.com/subject/3541415/
星际穿越,2014-11-12,9.4,1988429,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦","剧情,科幻,冒险","美国,英国,加拿大",1889243,https://movie.douban.com/subject/1889243/
楚门的世界,1998-06-05,9.4,1844493,"金·凯瑞,劳拉·琳妮,艾德·哈里斯","剧情,科幻",美国,1292064,https://movie.douban.com/subject/1292064/
机器人总动员,2008-06-27,9.3,1389520,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林","科幻,动画,冒险",美国,2131459,https://movie.douban.com/subject/2131459/
蝙蝠侠：黑暗骑士,2008-07-14,9.2,1122470,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特","剧情,动作,科幻,犯罪,惊悚","美国,英国",1851857,https://movie.douban.com/subject/1851857/
黑客帝国,2000-01-14,9.1,885627,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1291843,https://movie.douban.com/subject/1291843/
红辣椒,2006-09-02,9.1,514023,"林原惠美,江守彻,堀胜之祐","动画,悬疑,科幻,惊悚",日本,1865703,https://movie.douban.com/subject/1865703/
攻壳机动队,1995-11-18,9.1,151679,"田中敦子,大塚明夫,山寺宏一","动作,科幻,动画",日本,1291936,https://movie.douban.com/subject/1291936/
黑镜：圣诞特别篇,2014-12-16,9.1,129209,"乔恩·哈姆,拉菲·斯波,奥娜·卓别林","剧情,科幻,惊悚",英国,25964630,https://movie.douban.com/subject/25964630/
超感猎杀：完结特别篇,2018-06-08,9.2,63013,"裴斗娜,杰米·克莱顿,蒂娜·德赛","剧情,科幻,同性",美国,27040774,https://movie.douban.com/subject/27040774/
蝴蝶效应,2004-01-23,8.9,996189,"阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特","剧情,悬疑,科幻,惊悚","美国,加拿大",1292343,https://movie.douban.com/subject/1292343/
蝙蝠侠：黑暗骑士崛起,2012-08-27,8.9,765073,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇","剧情,动作,科幻,犯罪,惊悚","美国,英国",3395373,https://movie.douban.com/subject/3395373/
2001太空漫游,1968-04-02,8.9,360530,"凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特","科幻,惊悚,冒险","英国,美国",1292226,https://movie.douban.com/subject/1292226/
攻壳机动队2：无罪,2004-03-06,9.1,73322,"田中敦子,大塚明夫,山寺宏一","剧情,科幻,动画",日本,1291566,https://movie.douban.com/subject/1291566/
阿凡达,2010-01-04,8.8,1490159,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗","动作,科幻,冒险",美国,1652587,https://movie.douban.com/subject/1652587/
超能陆战队,2015-02-28,8.8,1075592,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼","喜剧,动作,科幻,动画,冒险",美国,11026735,https://movie.douban.com/subject/11026735/
黑客帝国3：矩阵革命,2003-11-05,8.8,470144,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1302467,https://movie.douban.com/subject/1302467/
大都会,1927-01-10,9.1,53951,"阿弗莱德·阿贝尔,古斯塔夫·佛力施,鲁道夫·克莱恩-鲁格","剧情,科幻",德国,1298107,https://movie.douban.com/subject/1298107/
终结者2：审判日,1991-07-03,8.8,360452,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆","动作,科幻","美国,法国",1291844,https://movie.douban.com/subject/1291844/
千钧一发,1997-10-24,8.8,322657,"伊桑·霍克,乌玛·瑟曼,裘德·洛","剧情,科幻,惊悚",美国,1300117,https://movie.douban.com/subject/1300117/
回到未来,1985-07-03,8.8,228926,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森","喜剧,科幻,冒险",美国,1300555,https://movie.douban.com/subject/1300555/
疯狂的麦克斯4：狂暴之路,2015-05-14,8.7,579165,"汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特","动作,科幻,冒险","澳大利亚,美国",3592854,https://movie.douban.com/subject/3592854/
人工智能,2001-06-29,8.7,472524,"海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹","剧情,科幻","美国,英国",1302827,https://movie.douban.com/subject/1302827/
黑客帝国2：重装上阵,2003-07-18,8.7,428490,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1304141,https://movie.douban.com/subject/1304141/
回忆三部曲,1995-12-23,8.9,68790,"矶部勉,山寺宏一,高岛雅罗","动画,奇幻,科幻,惊悚",日本,1307897,https://movie.douban.com/subject/1307897/
头号玩家,2018-03-30,8.6,1434430,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森","动作,科幻,冒险",美国,4920389,https://movie.douban.com/subject/4920389/
蜘蛛侠：平行宇宙,2018-12-21,8.6,710861,"沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德","动作,科幻,动画,冒险",美国,26374197,https://movie.douban.com/subject/26374197/
彗星来的那一夜,2013-09-19,8.6,629749,"艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登","科幻,悬疑,惊悚","美国,英国",25807345,https://movie.douban.com/subject/25807345/
蝙蝠侠：侠影之谜,2005-06-29,8.6,433214,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森","剧情,动作,科幻,犯罪,惊悚","美国,英国",1309069,https://movie.douban.com/subject/1309069/
穿越时空的少女,2006-07-15,8.6,391525,"仲里依纱,石田卓也,板仓光隆","剧情,爱情,科幻,动画",日本,1937946,https://movie.douban.com/subject/1937946/
发条橙,1971-12-19,8.6,387091,"马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨","犯罪,剧情,科幻","英国,美国",1292233,https://movie.douban.com/subject/1292233/
E.T.外星人,2002-06-20,8.6,340402,"亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿","剧情,科幻",美国,1294638,https://movie.douban.com/subject/1294638/
