电影名称,上映时间,评分,评论人数,演员,类型,国家,电影ID
盗梦空间,2010-09-01,9.4,2179097,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉","剧情,科幻,悬疑,冒险","美国,英国",3541415
星际穿越,2014-11-12,9.4,1986684,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦","剧情,科幻,冒险","美国,英国,加拿大",1889243
楚门的世界,1998-06-05,9.4,1842518,"金·凯瑞,劳拉·琳妮,艾德·哈里斯","剧情,科幻",美国,1292064
机器人总动员,2008-06-27,9.3,1388573,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林","科幻,动画,冒险",美国,2131459
蝙蝠侠：黑暗骑士,2008-07-14,9.2,1121733,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特","剧情,动作,科幻,犯罪,惊悚","美国,英国",1851857
黑客帝国,2000-01-14,9.1,884983,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯","动作,科幻",美国,1291843
红辣椒,2006-09-02,9.1,513390,"林原惠美,江守彻,堀胜之祐","动画,悬疑,科幻,惊悚",日本,1865703
攻壳机动队,1995-11-18,9.1,151497,"田中敦子,大塚明夫,山寺宏一","动作,科幻,动画",日本,1291936
黑镜：圣诞特别篇,2014-12-16,9.1,129167,"乔恩·哈姆,拉菲·斯波,奥娜·卓别林","剧情,科幻,惊悚",英国,25964630
超感猎杀：完结特别篇,2018-06-08,9.2,62980,"裴斗娜,杰米·克莱顿,蒂娜·德赛","剧情,科幻,同性",美国,27040774
蝴蝶效应,2004-01-23,8.9,995417,"阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特","剧情,悬疑,科幻,惊悚","美国,加拿大",1292343
蝙蝠侠：黑暗骑士崛起,2012-08-27,8.9,764591,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇","剧情,动作,科幻,犯罪,惊悚","美国,英国",3395373
2001太空漫游,1968-04-02,8.9,360122,"凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特","科幻,惊悚,冒险","英国,美国",1292226
攻壳机动队2：无罪,2004-03-06,9.1,73255,"田中敦子,大塚明夫,山寺宏一","剧情,科幻,动画",日本,1291566
