电影名称,评论者,评分等级,评论日期,点赞数,评论内容
阿基拉,朝暮雪,推荐, 2020-02-26 16:40:09 ,682,"如果变形虫被赋予了人的力量，后果将不堪设想。它不会建造房屋和桥梁，只会吞噬周围的食物。
如果人类被赋予了神的力量，也会导致东京沦陷，引发第三次世界大战。
电影之中，日本企图掌控阿基拉，结果遭到毁灭性的打击。
电影之外，日本建造了世界最大的核电站，结果核泄漏让福岛瞬间成为鬼城。
水能载舟，亦能覆舟，科技也是如此。
人类永无止境地追求更先进的技术、更强大的力量，妄图征服一切，却总是遭到反噬。
“阿基拉”可以是核能，也可以是人工智能、机器人、网络、VR游戏……它们能造福人类，也能杀死人类。
如果我们无所顾忌地追求阿基拉的力量，而不考虑潜在的隐患，终将被阿基拉吞噬。
PS：《阿基拉》早在1988年就成功预言了2020年奥运会由东京举办，还预言了东京奥运会举办得并不顺利。"
阿基拉,[己注销],推荐, 2012-11-15 21:43:36 ,440,一般被视为大友克洋的巅峰之作（影片本身的影响巨大，在美国多次获奖，并且明年美国将翻拍真人版）。不过这不是我最喜欢的大友动画。后半部超展开，并有大量令人反胃的画面。另外纯子（香织）是本片最可怜的主要人物，没有之一。
阿基拉,飞侠式拼搏,推荐, 2020-03-24 23:07:08 ,290,1988年的片子出现2020年东京将举办奥运会，并且在开赛前的147天取消。而现实中是2020年奥运会举办地的确在东京，并且2020年还取消了，延期到2021年。预言到年份地点已经够厉害了，居然连不能如期顺利举办都成真了，牛逼！
阿基拉,一脸横肉张小晒,推荐, 2012-09-08 22:54:09 ,355,超出常人所不及为神，超脱时代 所不束即为神作， 优秀的作品不论在什么时候去看都不会让人失望。
阿基拉,海带岛,力荐, 2018-10-07 23:14:30 ,1235,为什么总是“少年”和“毁灭”呢？“少年”和“废墟”，“少年”和“战斗”。不是“成人”。日本人做科幻对“少年”有执念啊。未完成体。未成熟体。未规划体。怯懦、失控，但是充满可能性，日本人对日本自身，有种娇弱的怜惜，有种处于弱势想象中的希望。
阿基拉,同志亦凡人中文站,推荐, 2015-07-14 12:48:24 ,306,宫崎骏评语：“一个异能少年站立在东京废墟上，人们就知道这是大友克洋。”画风太违和，想象力很棒～！
阿基拉,junepig,还行, 2009-02-13 22:06:30 ,1063,很多科幻作品的问题就在于必须要给故事一个终极解答，而又无力给出这样的解答，有时候就只好拿爱情啊，友谊啊，正义之类的作为搪塞，有时候就干脆含糊其辞地回避掉。
阿基拉,恶魔的步调,力荐, 2005-12-16 09:23:14 ,388,结尾巨婴疑致敬2001太空漫友但感觉后来又被今敏的红辣椒给致敬了（而那今敏感的幻熊……看来是影响满深的）……此外对EVA的影响也是毋庸置疑的……好几场的配乐老是让人想起异形……要说有遗憾的话，感觉颜色上的细节，可以更加丰富点，以便拓展空间感。
阿基拉,巴喆,力荐, 2019-12-21 15:00:27 ,202,1988幻想2019的日本，居然还真的预测到了2020年东京将举办奥运会。开篇分镜流光溢彩的朋克风建构出“无政府状态的生命活力”，三次世界大战、两次遭毁的东京，末世情节的无政府主义，文明巨婴的膨胀，暗示人类无休止的力量汲取，自洽无能，最后自曝归于虚无。这与其时日本的情况又何其相似（果然90年代日本经济就崩盘了）。大友克洋对结尾分支两条处理，一是男主金田的正常发展（貌似今天2019也未能如此），一个铁雄那样获得超级力量后的变种爆炸最终原子湮灭。科技和社会建构真是颇具前瞻性。8.6
阿基拉,Andor-Genesis,力荐, 2006-09-06 21:39:49 ,267,我真不好意思说我也看过这个动画。。。。。。但我敢说 豆瓣里没有几个拥有根据此片改编的游戏！~
阿基拉,木卫二,推荐, 2019-06-19 01:09:45 ,190,昭和年的日本导演们，无疑是忘记不了战争与文明的灾难冲突。即便是动画片，通过巨大的意念变形体，去阐释这个主题。《阿基拉》让人惊讶的，是它在如此早的年份，引出人类驾驭不了力量，终将毁灭与自毁的悲观主题。不过，电影段落之间，还是有许多断裂，为了打而打，有痛感而少美感（相比之下，《蒸汽少年》真的充满了艺术美感，更不必说《火要镇》），以及难以解释朋友光环如此抢眼，借老灵魂的说法，更是难以解释服众。
阿基拉,掉线,推荐, 2014-11-26 14:16:49 ,162,【B+】前三分之一满分，剪辑分镜非常之牛逼，戏剧性的高光比，像极了银翼杀手的美术设计。中段对于阿基拉世界观的解释则显的有些冗长累赘。到最后更是……我本来期待的是一个逻辑严密的复杂故事，结果原来是中二的超级赛亚人决斗……
阿基拉,冰红深蓝,推荐, 2016-06-15 13:34:01 ,83,世界观设定上有些漏洞，难以自圆其说。视觉效果很惊艳，启发了不少作品，铁雄能量失控的场面最震撼。除了反乌托邦背景(很明显借鉴了[银翼杀手])与核恐惧心理，还独具创造性地将末世图景与青春期的叛逆少年联系到一起，凸显出对失控与毁灭的担忧。（8.0/10）
阿基拉,仁慈的父,力荐, 2009-10-23 14:15:35 ,159,这部片子让人深深感慨——我们无论从技术还是意识形态还是思想深度哪方面比都绝对落后日本20年以上了。人家92年拍这样的，我们到2012年也拍不出。为国产动画默哀。
阿基拉,思路乐,力荐, 2019-05-02 21:41:55 ,36,【A－】师承《大都会》《银翼杀手》等科幻经典，近未来的霓虹灯影，金字塔样式的中心大楼，还有肮脏破败的街头小巷，画面风格极其赛博朋克。但在其故事内核上却像极了《2001太空漫游》，同样在用电影的形式去想方设法的接近一个属于人类的终极命题，尽管现在看来我们的思想实在是太过可笑，但那种对于力量、生命和宇宙的究极答案仍然太有魅力，吸引着无数思辨者在这条道路上飞蛾扑火。这种风格也在很大程度上影响了后世的《EVA》与《攻壳机动队》。就算抛去影片内核，其制作质量仍然相当给力，在当时的真人电影技术限制下，那种动画所表现出的宏大与细腻是无可媲美的，一种只能存在于动画里的故事。
阿基拉,Kat,力荐, 2009-12-24 12:14:21 ,43,2009年12月24日第一次看，2016年9月24日第二次看。
阿基拉,𝐓,还行, 2010-09-07 09:49:48 ,383,开场分镜头教科书 中间无聊得像终结者 后面玩大了
阿基拉,桃桃林林,推荐, 2011-02-08 14:43:31 ,216,癫狂与末世
阿基拉,易老邪,还行, 2012-02-27 20:49:53 ,129,作为一部动画片，基本没有发挥出动画的优势。
阿基拉,仿真男孩哪吒,力荐, 2020-05-22 16:45:55 ,17,#CyberApril# 来自1988的世纪预告，内核是悲观主义对于近未来的忧惧。亦如大友克洋笔下的赛博城市，高楼零次栉比、夜间金碧辉煌，实则如下水道般浊流暗涌，所以导演不惮于毁灭东京两次。新世纪的科学果实堕入叵测的统治者怀中，第三次世界大战的假想从暴走游行、军队叛乱、迷信活动大张旗鼓开始，天真忠义的起义军、贪婪背信弃义的革命领导人、着魔的科学家、枪炮下弃如敝履的游民、中二的救世主，阿基拉是人类世纪所有潘多拉魔盒的总和。大友克洋真诚地将科技爆发的20世纪喻为孕育怪胎的幼儿园，怪诞玩具游行和伤心的童年往事，将指使人类在21世纪开启自毁进程。届时《圣经》中的洪水招之即来，将机械与肉体媾和的巨婴吞噬，象征人类文明的城市不再有霓虹，虚假繁荣不再。玩具梦魇、残枝淋漓的走廊、机械肉体巨婴的吞噬、东京万劫不复的场景，大为颤栗
阿基拉,CyberKnight电子骑士,推荐, 2019-06-26 11:50:33 ,41,1，日本动漫中“崩坏”这个概念真是深入骨髓！末世与更新主题几乎出现在所有带科幻色彩的日本动画中。2，叙事和人设都不太符合好莱坞模式，叙事很散漫，所谓“第三幕”太长（就不是标准三幕），金田也不是标准意义上的主角（铁雄更不是）。3，对六七十年代日本游行抗议的再现，这点村上春树也写到不少。4，结尾过于神棍，不如《红辣椒》《攻壳》。5，剪辑和分镜很凌厉快速。6，还是感觉日本很多艺术家对单个人的性命并不那么看重，只看做卑微的牺牲品。7，大银幕看真爽！
阿基拉,旧书君,推荐, 2011-10-20 17:36:29 ,31,一些人只是想看世界在火中燃烧的样子。一些人只是想试试在美丽敌托邦的绚烂街道上飙车的感觉。一些人只是想用对大师的膜拜之情来还原自我心目中那个未命名的像是终结解答的东西。
阿基拉,元宝宝,推荐, 2017-04-08 22:01:14 ,29,人体本身虽然具有一定的潜能，但被日本人无限的放大与夸张了，并把这种幻想融入到他们的作品中！
阿基拉,亵渎电影,推荐, 2020-05-02 02:30:19 ,28,重刷了4K修复版，重新制作了音轨，感觉在看一部全新的电影。现在刚好是2020年，东京奥运会真的会停办吧，本质上来说，确实也是因为阿基拉。
阿基拉,玩酷子弟,力荐, 2009-04-17 17:44:33 ,17,"  最初看此片理由是KOF里的K9999形象和主角外形激似，到了后面，你会听到K9999的出招时的喊的话。还有那印象深刻的生化手臂,后来snk被告了，个人比较同情这两位,就当他们是同一人吧，拥有强大的力量却要受制于人。"
阿基拉,兔草,力荐, 2019-06-24 20:57:32 ,12,2019siff最后一部《阿基拉》。和我同岁的电影，都生于1988，说得恰好是2019年的事，还预言了2020东京奥运会。画风，配乐都太棒了。神作模板。大友克洋毁天灭地，血浆四溅，末世感太强烈。原子弹的阴影，地震的阴影，或许暗示着日本人早已预言人类未来。2048见，不知道会否真的见到世界格局重组。那是宇宙新的诞生吗？今年能看到eva和阿基拉，真的太圆满了，A类电影节没有镜头删减，够暴力够残酷，这才是现实啊。
阿基拉,seabisuit,推荐, 2020-01-08 23:33:21 ,12,从《2001太空漫游》到《阿基拉》，世界的发展永远也追不上人类的想象，那日本就即将宣布在不久的未来2020年东京奥运会因第三次世界大战而停办吧。从废土到宇宙这么宏大的设定能够全方位的展现，80年代末的拍摄还是够厉害的，动画在穿越空间描绘大小的段落优势很足，城市就是毁灭的舞台，期待能早日看到维迪提的真人电影版。百老汇回顾展。
阿基拉,遊۞,力荐, 2010-06-21 11:43:01 ,16,未成年的就不要看了，不适合也看不懂。用震撼形容太肤浅了，日本人特有的末世情结、大友对科技与人类的独特思考、权利与人性的角逐在本片中得到了独特的呈现。还有，看到铁雄君后，我不敢再欺负人了，万一哪天他体内的阿基拉爆发了呢！
阿基拉,Woodring,2014-08-18 00:44:28, 2014-08-18 00:44:28 ,80,技术层面无话可说，开场20分钟的追车斗殴和追捕戏完成地相当漂亮，即使今天看恐怕也就只能拿押井来跟他比一比~但除此之外，故事毫无必要地冗长沉闷，后半节奏和故事线更是一塌糊涂，中二少年毁世界这种角色塑造就不提了~此外，这片是为谁在招魂，又是呼唤谁呢，1988年拍出这么6、70年代的片实在是~
阿基拉,Riobluemoon,还行, 2012-12-04 22:25:36 ,80,6.5分。不觉得这部传说中的作品有太多出色的地方。以如今的眼光看，除了音乐出点彩外，故事已经显得有些陈旧了，而铁雄心态的变化交代也不太清楚，金田和阿婷两人我看错了N次。无非场面比较大，而末世气氛的营造有未来EVA系列的影子。25年前的电影描绘政治乱像在如今也几乎完全适用啊。。。
阿基拉,匡轶歌,还行, 2020-02-04 20:41:17 ,50,招摇着蓬勃的中二气息。配方上大杂烩：一点点赛博朋克（Neo Tokyo 的未来都市景观），一点点弗兰肯斯坦（科学怪人），一点点克苏鲁（AKIRA 形态上接近于克苏鲁神话里的海底怪兽，又担负着一个邪教神与图腾的功能），一点点反乌托邦，最后讲了一个类似于《超体》的故事，又暗喻着对核能造成的世界毁灭的恐惧。暴走族的机车少年是救世主，几个身负异能的科学小人儿诡异得好似《鬼娃回魂》。总体来说画风丑爆了，音效简陋到几乎没有环境声。若不是为了那个“东京奥运会距离开幕147天因新冠全面爆发而休会”的预言，我没有办法将这个味如嚼蜡的片子撑完整场。看在是1988年，三星。
